isaimai,umairba,,,,,,,IPA,phoneme
p,pensive,person,needs,emotions,strategy,belief,0,p,voiceless bilabial plosive
b,border,containment,aquisition,order,place,flavor,1,b,voiced bilabial plosive
t,time,that,sky,freedom,orientation,this,2,t,voiceless alveolar plosive
d,dirt,matter,objects,mass,stability,hardness,3,d,voiced alveolar plosive
k,creatures,curves,nature,cycles,water,roundness,4,k,voiceless velar plosive
g,go,fire,power,speed,light,sound,5,g,voiced velar plosive
n,negative,resistance,violence,smallness,temperature,death,7,n,voiced alveolar nasal
m,message,me,communication,art,concepts,us,6,m,voiced bilabial nasal
f,fabrication,funds,labor,property,learning,tools,8,f,voiced labiodental fricative
v,virtue,civilization,normality,friendship,safety,peace,9,v,voiceless postalveolar fricative
s,sets,sequences,systems,numbers,units,equality,10,s,voiceless alveolar sibilant
z,truth,trancendence,theory,infinity,posibility,extremes,11,z,voiced alveolar fricative
h,haha,emotion,interjection,,,,12,h,voiceless glottal fricative
th,the,names,foreign words,,,,13,ð,voiced dental fricative
sh,-ish,modification,association,,,,14,ʃ,voiceless labiodental fricative
r,reversal,,,,,,15,ɹ,voiced alveolar lateral approximant
l,distinction,,,,,,16,l,voiced alveolar approximant
i,itsy-bitsy,pointed,active,,,,17,i,close front unrounded vowel
a,average,moderate,standard,,,,18,ä,open central unrounded vowel
u,uber,broad,deep,,,,19,u,close back rounded vowel